year_birth,age,sex,number,percentage
2021,0,Man,355275,0.523675459
2021,0,Woman,340570,0.502000285
2020,1,Man,354818,0.523001841
2020,1,Woman,340203,0.501459327
2019,2,Man,365816,0.539212897
2019,2,Woman,349026,0.514464431
2018,3,Man,372355,0.548851385
2018,3,Woman,353040,0.520381069
2017,4,Man,379493,0.559372799
2017,4,Woman,363304,0.535510208
2016,5,Man,391463,0.577016582
2016,5,Woman,374539,0.552070601
2015,6,Man,402746,0.593647728
2015,6,Woman,384860,0.567283758
2014,7,Man,414381,0.610797721
2014,7,Woman,399696,0.589152027
2013,8,Man,419473,0.618303331
2013,8,Woman,401447,0.591733001
2012,9,Man,429110,0.632508272
2012,9,Woman,407952,0.601321373
2011,10,Man,430420,0.634439212
2011,10,Woman,410752,0.605448574
2010,11,Man,442201,0.65180441
2010,11,Woman,421274,0.620958006
2009,12,Man,437690,0.645155195
2009,12,Woman,417181,0.614924922
2008,13,Man,441090,0.650166796
2008,13,Woman,417506,0.615403972
2007,14,Man,436321,0.643137288
2007,14,Woman,416952,0.614587376
2006,15,Man,443995,0.654448767
2006,15,Woman,421447,0.621213008
2005,16,Man,435328,0.641673606
2005,16,Woman,412623,0.608206429
2004,17,Man,433336,0.638737397
2004,17,Woman,408207,0.601697244
2003,18,Man,426298,0.628363383
2003,18,Woman,402727,0.593619722
2002,19,Man,423836,0.624734394
2002,19,Woman,400727,0.590671721
2001,20,Man,423036,0.623555194
2001,20,Woman,397626,0.586100846
2000,21,Man,424813,0.626174493
2000,21,Woman,400939,0.590984209
1999,22,Man,393926,0.580647045
1999,22,Woman,377139,0.555903002
1998,23,Man,384917,0.567367776
1998,23,Woman,375828,0.553970588
1997,24,Man,375689,0.553765702
1997,24,Woman,368405,0.543029083
1996,25,Man,375158,0.552983007
1996,25,Woman,371950,0.548254414
1995,26,Man,370455,0.546050784
1995,26,Woman,372539,0.549122601
1994,27,Man,361017,0.532139169
1994,27,Woman,368892,0.543746921
1993,28,Man,364399,0.537124238
1993,28,Woman,370834,0.54660943
1992,29,Man,379887,0.559953555
1992,29,Woman,390831,0.576085014
1991,30,Man,387098,0.570582571
1991,30,Woman,398089,0.586783308
1990,31,Man,399238,0.588476935
1990,31,Woman,409060,0.602954566
1989,32,Man,397957,0.58658874
1989,32,Woman,416217,0.613503986
1988,33,Man,402977,0.593988222
1988,33,Woman,424699,0.626006457
1987,34,Man,401855,0.592334394
1987,34,Woman,426986,0.629377495
1986,35,Man,407489,0.600638911
1986,35,Woman,433544,0.639043989
1985,36,Man,405343,0.597475707
1985,36,Woman,432791,0.637934067
1984,37,Man,403374,0.5945734
1984,37,Woman,428773,0.632011534
1983,38,Man,397699,0.586208448
1983,38,Woman,421240,0.62090789
1982,39,Man,424585,0.625838421
1982,39,Woman,445454,0.656599333
1981,40,Man,426488,0.628643443
1981,40,Woman,447707,0.659920256
1980,41,Man,432854,0.638026929
1980,41,Woman,455038,0.670726152
1979,42,Man,409245,0.603227256
1979,42,Woman,427938,0.630780744
1978,43,Man,402517,0.593310182
